,equations,Solution
180,x=1-((3/8)+(3/8)),((1)/(4))
181,x=(500-380)/5,24
182,x=5/(1-(1/7))/(1-(1/5))/(1-(1/3)),((175)/(16))
183,x=12.5*6.4*0.6,48
184,x=(960-240-83*4)/4,97
185,x=(2000+580)/2000,129%
186,x=50*(1-45%),27.5
187,x=(124+125+126+127+1)*4,2012
188,x=1/[(((1)/(8*15))+((1)/(9*20)))*6],12
189,x=(2300-1700)/4,150
190,x=40/5,8
191,x=560/4-75,65
192,x=(2280-60*3)/(80+60),15
193,x=6*4*42,1008
194,x=1999+999^2,1000000
195,x=125*111*5*8*4,2220000
196,x=100*(1-(1/5)),80
197,x=[(18-3)*0.64+26.4]/18,2
198,x=3-2/6+5,7((2)/(3))
199,x=500*95%*60%,285
200,x=1300-600*2,100
201,x=1.8*5+2.5*3,16.5
202,x=8-1,7
203,x=150/(30%+45%),200
204,x=480*60%+480*(1/8),348
205,x=45-23,22
206,x=(85-58)*5,135
207,x=268/67,4
208,x=(35+37)*15,1080
209,x=(1/4)/5,((1)/(20))
210,x=18*21+16,394
211,x=(3/4)/(1+(3/4)),((3)/(7))
212,x=150/(1-(1/4)-(3/8)),400
213,x=(56*3-4)/(2/5),410
214,x=300*[1-(1-(3/10)-(3/10))],180
215,x=(40-34)/40,15%
216,x=40/(5/6)/(4/3),36
217,x=936/26,36
218,x=24/(1-60%)*(1-50%),30
219,x=(360+300)/(360-300),11
220,x=1200/30-1200/40,10
221,x=18/2-1,8
222,x=0.86/0.5,1.72
223,x=(20-15)/20,25%
224,x=360/40+1,10
225,x=900/5/9,20
226,x=35*(90+1),3185
227,x=18/(1/3)*(2/9),12
228,x=85*4/(85-17),5
229,x=(6/7)*(7/15)/30,((1)/(75))
230,x=18*12,216
231,x=(3/5)+(5/8)-1,((9)/(40))
232,x=15*10*8-8*8*8,688
233,x=24/(13-5),3
234,x=12/(10/3),3.6
235,x=(300-250)/250,20%
236,x=4800/(1+(1/4)),3840
237,x=420/(1-(1/7)),490
238,x=1000-320*3,40
239,x=10+10*(1/5),12
240,x=800*3-200,2200
241,x=((2/5)+(1/4))+(2/5),((21)/(20))
242,x=36*(1/3)+6,18
243,x=(258-142)/4,29
244,x=36/7.2,5
245,x=6000*75%+6000,10500
246,x=7.3*4-(6.1+7.2+9.5),6.4
247,x=12/(1/6)*(1-(1/6)),60
248,x=4*8*25,800
249,x=45/(1+25%),36
250,x=1/(25%/5)-5,15
251,x=20*0.9,18
252,x=(123-3)/15,8
253,x=(50-2.3)/3,15.9
254,x=0.4/(4.2-0.4),((2)/(19))
255,x=(650-128)/58,9
256,x=13-1-3,9
257,x=104/(4*2),13
258,x=(1/3)+0.25,((7)/(12))
259,x=(17.4-1.8*3)/2.4,5
260,x=2000*8/3200,5
261,x=0.7*30,21
262,x=14*(56-1)/35+1,23
263,x=8000*(1-39%),4880
264,x=30*(1/6)+82,87
265,x=(15-6)/15,((3)/(5))
266,x=1542-147-684,711
267,x=(120+90)*3.5,735
268,x=645-608/8,569
269,x=10-(4/5)*(3/4),((47)/(5))
270,x=48*(5/6)+3,43
271,x=23/50,((23)/(50))
272,x=544-544*(5/8),204
273,x=(25-10)+(12-3)-(39-20),5
274,x=6*3*4,72
275,x=20.8/4,5.2
276,x=37.4/(1-15%),44
277,x=40/(1-(3/8)),64
278,x=5*9+25,70
279,x=540/20%,2700
280,x=290/(1-(1/6)-(1/6)*(5/7)),406
281,x=18*(2/3)/(5/4),9.6
282,x=1/(1/5),5
283,x=100*4.68%*2,9.36
284,x=4-(1/4),3((3)/(4))
285,x=16*(3/8)/(1/3),18
286,x=252/6,42
287,x=(2.5*(4/5)+10)/(6/7),14
288,x=360/6,60
289,x=22/(11/20),40
290,x=(88-16)/(1/5),360
291,x=56/8+3.5,10.5
292,x=2400-(2400-1600)*14%,2288
293,x=9*3,27
294,x=100*((1)/(1+9)),10
295,x=186/((3/8)+40%),240
296,x=120*(5/8)*(2/3),50
297,x=20000*(1+10%),22000
298,x=(75+95)*48,8160
299,x=840/14*32,1920
300,x=(20*6)/(1-20%),150
301,x=360/2.4-80,70
302,x=(3/2)*(1/5),((3)/(10))
303,x=(1/18)*9*(5/6),((5)/(12))
304,x=(450-8)/26,17
305,x=(24.2+16.4)/14,2.9
306,x=720/(55-25),24
307,x=40*30*15/8,2250
308,x=30/(670+30),((3)/(70))
309,x=7+(7-0.75)+5.5,18.75
310,x=428/4,107
311,x=(840-640)/8,25
312,x=12*3*2,72
313,x=310-256/8,278
314,x=7.5/0.15,50
315,x=250-(170+80),0
316,x=3000*(5/6),2500
317,x=(58-1)*5+58*4,517
318,x=(13*9+23)/4,35
319,x=40*30/50,24
320,x=225/(20-15),45
321,x=(251-182)*(162+38),13800
322,x=(128+52)*45,8100
323,x=1268-475-325,468
324,x=70.5*6.4,451.2
325,x=120*(3*2),720
326,x=24*11+16,280
327,x=200*18*6,21600
328,x=(2/3)-((8/9)-(2/3)),((4)/(9))
329,x=12000/(3/5),20000
330,x=2/((1/6)*2-(1/4)),24
331,x=240/(95%-75%)*75%,900
332,x=20*50/25,40
333,x=539+761,1300
334,x=25-(25*8-128)/(8+4),19
335,x=500-500*3.2%/8%,300
336,x=(396-66)/(22*10),1.5
337,x=540*(20%+(1/8)),175.5
338,x=8000*(1-40%),4800
339,x=36/(4/7)-36,27
340,x=112*12/84,16
341,x=192/6/4,8
342,x=(150-6*5)/5,24
343,x=40+25-55,10
344,x=90/(((5)/(5+3))-40%),400
345,x=15/(0.35-0.2),100
346,x=8*(1/10),((8)/(10))
347,x=1500*(1+(1/5)),1800
348,x=(1-(3/4))/((3/4)/(1/2)),((1)/(6))
349,x=20/2-1,9
350,x=125+55,180
351,x=24/[1-(1/4)-(1/5)-((1/4)+(1/5))],240
352,x=720*(30/225),96
353,x=80/(2/3),120
354,x=(10-5)/(5-4)+1,6
355,x=39*4-17,139
356,x=(2.82+3.18)*10+3,63
357,x=100*3.14*(1-40%)/3,62.8
358,x=(1+1)/(1/3+1/6),4
359,x=56*(1+2),168
360,x=(867+231)/3,366
361,x=23*1000+1080,24080
362,x=(15-1)*20,280
363,x=150*3+50+150,650
364,x=(400*(3/4)-60)/(5/8),384
365,x=(28+2)/60%,50
366,x=12.8*1.8,23.04
367,x=(0.3*4+4.8)/3,2
368,x=(360-300)/300,20%
369,x=6000/(59-35),250
370,x=(1200-800)*5%,20
371,x=2.4*(5/6)+2.4,4.4
372,x=6600*0.8*(1+20%),6336
373,x=6*8,48
374,x=48*(1/8),6
375,x=[(260+40)/(1-(2/5))-10]/(1-(3/8)),784
376,x=360.64/14/8,3.22
377,x=(320-280)/320,12.5%
378,x=1075/(120+95),5
379,x=324/9,36
380,x=3+(2.9-0.8)/0.3,10
381,x=500*(1-0.8),100
382,x=3*(8/1-1),21
383,x=660/(240+660),((11)/(15))
384,x=80/((5)/(4+5)),144
385,x=220/(25%+30%),400
386,x=180*3.8/3.6,190
387,x=6/(36%-24%),50
388,x=1.2/(0.9-66%),5
389,x=565-128+565,1002
390,x=840*(5/8)*(1/5),105
391,x=108/18+1,7
392,x=0.32*8/(12-8)*12,7.68
393,x=(200-10)/(1+1)*5,475
394,x=1/((5/6)-(4/5))*(5/6),25
395,x=10.2/3/4,0.85
396,x=(400*2+200*2)/2,600
397,x=2200/25%,8800
398,x=0.821*(15*4),49.26
399,x=13*3.65,47.45
400,x=5*7+125,160
401,x=56*(1-(1/7)),48
402,x=4*2,8
403,x=4-(1/3),3((2)/(3))
404,x=(10-1)*4,36
405,x=9998+998+99+9+6,11110
406,x=(20-4.4)/5.2,3
407,x=24*3*25,1800
408,x=16/(5-1)*(8-1),28
409,x=63/(1+(2/7)),49
410,x=18.5*7+98.4,227.9
411,x=900*(1+20%)+900,1980
412,x=25*7+4,179
413,x=20000+20000*3.14%*1,20628
414,x=12*24/16,18
415,x=(15*4+38)/(3+4),14
416,x=(168+48)/8,27
417,x=1400/(80+60),10
418,x=(75*3+81*3)/(3+3),78
419,x=40-(18+15-10),17
420,x=(340+60)/(1-(2/5)),666((2)/(3))
421,x=1200+1200*(5/6)-50,2150
422,x=720/(40+32),10
423,x=12*(1/2),6
424,x=40*((1/8)+(3/10)),17
425,x=8/(32+8),20%
426,x=2400*(1+10%),2640
427,x=1/((2/5)/4),10
428,x=40*1.2*(5/8),30
429,x=400*(1-40%)/48%,500
430,x=420*(1-25%-(3/5)),63
431,x=28*3+9,93
432,x=240/(1.5-1),480
433,x=380*2+20,780
434,x=9.42/3.14,3
435,x=80/4+80,100
436,x=12.5/(1-(1/2)-25%),50
437,x=1.1+0.2,1.3
438,x=(54-1.5*16)/5,6
439,x=(0.4*5+3)/2.5,2
440,x=336/8/6,7
441,x=5-(1/2),4((1)/(2))
442,x=30/(1+(1/5)),25
443,x=1-(1/4),((3)/(4))
444,x=45*14+28+45,703
445,x=18*7+45,171
446,x=1-(1/3)-(2/5),((4)/(15))
447,x=123*(1+2),369
448,x=0.015,((3)/(200))
449,x=120*14+60*5,1980
450,x=2.1/4+3.6*2.5,9.525
451,x=15-(28-15),2
452,x=7436-945+7436,13927
453,x=(71.34+83.28)-(32.56+41.32),80.74
454,x=10000/(1+25%),8000
455,x=192/(3/4),256
456,x=(240-60)/(60/1),3
457,x=960/(18-2),60
458,x=16/(4/5),20
459,x=96+86-89,93
460,x=6000*6.135,36810
461,x=789-658,131
462,x=325.8/4.5,72.4
463,x=(20+25)/(5/9),81
464,x=300/5*12,720
465,x=670-120-230,320
466,x=65*6+35,425
467,x=(50*3.5+56)/3.5,66
468,x=7+5,12
469,x=240/3*7,560
470,x=100*20%/(3/5),33((1)/(3))
471,x=42/(3/4),56
472,x=0.65*10*(1/100),0.065
473,x=12/(2/3),18
474,x=24/(1-85%),160
475,x=(52-3*8)/4,7
476,x=120/12-120/15,2
477,x=(540-180)/(180/3),6
478,x=1080/(2/5),2700
479,x=12*(1/3),4
480,x=15*7,105
481,x=180*(1-(3/4)),45
482,x=80*4,320
483,x=(56+8)/(1-20%),80
484,x=165*4,660
485,x=(1-(1/10)*3)/0.01,70
486,x=(7/15)+(3/15),((2)/(3))
487,x=0.98*5000*(1+15%)/[5000*(1-2%)],1.15
488,x=(3/5)+(1/4)+(3/5),((29)/(20))
489,x=60/(2/3),90
490,x=(1/12)*3+(1/18)*3,((5)/(12))
491,x=5*800-3800,200
492,x=213*2+213,639
493,x=800/10-36,44
494,x=28/(2/9),126
495,x=24/30,((4)/(5))
496,x=18/6,3
497,x=1-(1/6)-(1/6),((2)/(3))
498,x=45*(1-20%),36
499,x=653+247,900
500,x=300/(40%-25%)*25%,500
501,x=123*(20/41),60
502,x=(480-120)/90,4
503,x=(5.6+3.8)*(5.6-3.8),16.92
504,x=150-(140-90),100
505,x=(70*20-1070)/(70+40),3
506,x=42*10/7,60
507,x=32+26-(46-2),14
508,x=80*(1+20%),96
509,x=85/(5/7)-85,34
510,x=75*4+75,375
511,x=168/(27+1),6
512,x=2530*((2)/(3+2)),1012
513,x=(400-154)/6,41
514,x=(10-2.4*3)/4,0.7
515,x=0.6*3-0.3,1.5
516,x=(30+120)*6,900
517,x=50-14.5*2,21
518,x=(1000-250)/(125*2-125),6
519,x=40*3/2,60
520,x=28*8-128,96
521,x=6*3,18
522,x=7500/10-7500/15,250
523,x=420/(720/12),7
524,x=(2/7)*5*3,((30)/(7))
525,x=6*8/2,24
526,x=12000/(1-40%),20000
527,x=(620+10)/(7/8),720
528,x=10.4/(1-20%),13
529,x=27/(3/4),36
530,x=(15*8)/(15*(2/3)),12
531,x=36/(((7)/(7+3+2))-((3)/(7+3+2))),108
532,x=23*2+6+23,75
533,x=100*(1-(1/5)),80
534,x=2.5*1.2,3
535,x=40*20%/8%-40,60
536,x=665*7,4655
537,x=0.47,47%
538,x=180-35*4,40
539,x=(720+900)/(28+26),30
540,x=120*5/40,15
541,x=2400+15,2415
542,x=70/5+70/7-10.5,13.5
543,x=105%-1,5%
544,x=210/(3+4)*3,90
545,x=8400/(8400/30-40),35
546,x=(150+230)*0.8*0.9,273.6
547,x=714/(48-6),17
548,x=1554/37-24,18
549,x=62.5/2.5,25
550,x=300/(1-(2/5)),500
551,x=400/(4+6),40
552,x=28/(((5)/(5+6))-20%),110
553,x=(3/8)+(1/2),((7)/(8))
554,x=500*(2/25)/(1/6),240
555,x=305/5,61
556,x=21+18-36,3
557,x=162/(48+48*1.25),1.5
558,x=80-(36+24),20
559,x=56/(14-6),7
560,x=(89-1)/2*1+1,45
561,x=80-(80*18+560)/40,30
562,x=2*(5-1),8
563,x=110/[1+(1/4)-(3/8)-(1-(3/8))*(2/3)],240
564,x=250/((3/8)+(2/8)),400
565,x=(14+9-6)/(9-8),17
566,x=(3701.2-1600)/6,350.2
567,x=16*5+9,89
568,x=2700/(2700/50+6),45
569,x=20/(4/5),25
570,x=45/((3)/(3+1)),60
571,x=52/(0.6+0.7),40
572,x=2.8*(1-(1/7))*(1-(1/4)),1.8
573,x=60/(104.5-84.5),3
574,x=105/(1-(5/36)*3),180
575,x=200*(1+30%)*0.85,221
576,x=(70+50)/40,3
577,x=30*2+16,76
578,x=50*98%,49
579,x=36/((3/7)*(7/10)),120
580,x=1.5*(9*9),121.5
581,x=120/8+1,16
582,x=120*(1/4)/60,((1)/(2))
583,x=60*(1-25%),45
584,x=55*(6/11),30
585,x=16-1,15
586,x=80*(1-20%),64
587,x=10000+10000*2*4.15%*(1-5%),10788.5
588,x=400/[(500-400)/2],8
589,x=(240-104)/8,17
590,x=(20-8)/3,4
591,x=14*36/63,8
592,x=15/30,0.5
593,x=140*6,840
594,x=85*3.6,306
595,x=8.19/1.3,6.3
596,x=20/80%,25
597,x=56-52,4
598,x=18+18*2,54
599,x=135/(8-5),45
600,x=5-1,4
601,x=1470*((1)/(1+20)),70
602,x=35*10+20,370
603,x=273/3*(3+4),637
604,x=(85-93*(4/5))/(1-(4/5)),53
605,x=132/2+132,198
606,x=22/((1/6)+(1/5)),60
607,x=1200*5/30/4,50
608,x=(225-24*5)/35,3
609,x=0.7+3.2,3.9
610,x=60*((1/4)+15%),24
611,x=(6+3)*28,252
612,x=(364-156)/8,26
613,x=78/(1-22%),100
614,x=483-107+310,686
615,x=360/(3/5),600
616,x=900/(1-(1/4)-30%),2000
617,x=65*(3/5)*(1/3),13
618,x=(126+112)*6,1428
619,x=(80-30)/80,((5)/(8))
620,x=1280/(1-20%),1600
621,x=993-126,867
622,x=512/(1+2+5),64
623,x=80*(3/4)/(2/5),150
624,x=72/(1-(1/9)),81
625,x=(64+36)*99,9900
626,x=80+50*12,680
627,x=24/(3/4)*(3/8),12
628,x=(310+240)/(1-45%)*45%,450
629,x=597-50*11,47
630,x=96/6,16
631,x=(88*1)/[(138-88*1)/1],1((19)/(25))
632,x=46+7+46,99
633,x=660*(3/10)*(1/3),66
634,x=3/(1/4),12
635,x=23.02-1.2,21.82
636,x=250*3-250,500
637,x=150*8-120*8,240
638,x=16/(1/4),64
639,x=(45*(2/9)+16)/50%,52
640,x=(188-5*28)/3,16
641,x=10*10-(10-4)*(10-4),64
642,x=60/[1-(1/4)-(1-(1/4))*(3/7)],140
643,x=320-(92+145-37),120
644,x=460+485-780,165
645,x=48/(1/3)/(1/6),864
646,x=20/(2/5)-20,30
647,x=1/5,((1)/(5))
648,x=(1/2)+(7/10)+(1/2),1((7)/(10))
649,x=170/(102/3),5
650,x=(1800-1600)*5%,10
651,x=348/(1+45%),240
652,x=480/[1-((5)/(7+5))/(1-37.5%)],1440
653,x=(192-16)/16,11
654,x=265-80,185
655,x=2275/7/5,65
656,x=300-(500-300*1)/5,260
657,x=(5/2)/(1/4),10
658,x=150-150*0.85,22.5
659,x=600/30,20
660,x=90/(1+(4/5)),50
661,x=12*25+12*15,480
662,x=0.5*3-0.2-0.5,0.8
663,x=(8-3)/(3-2)+1,6
664,x=12/((3)/(3+2)),20
665,x=4/(1/6),24
666,x=(6500-5200)/6500,20%
667,x=16*28+7,455
668,x=(85-70)*11,165
669,x=11.55/1.4,8.25
670,x=2/2,1
671,x=(470-230)/40-230/46,1
672,x=(7-5)*4/(7+5),((2)/(3))
673,x=30/(3/5)/(4/5),62((1)/(2))
674,x=336/21+2,18
675,x=(3000-750)/9,250
676,x=(56*28)/(56+8),24.5
677,x=38*8+42*12,808
678,x=18*25*15,6750
679,x=189/3/7,9
680,x=74*11+26*12,1126
681,x=15*(1/2)/8,((15)/(16))
682,x=5*6*1.3,39
683,x=8*35+340,620
684,x=500*10.2%,51
685,x=1250*0.8*0.95,950
686,x=18-6,12
687,x=5*(40.62/4),50.775
688,x=300*30%/60%,150
689,x=12.6+2.8+12.6,28
690,x=1+(1/4),((5)/(4))
691,x=800/(1-(1/2)-30%),4000
692,x=(52+38)*150,13500
693,x=240/(1-(1/15)*3),300
694,x=34.5*(500/100),172.5
695,x=20-(20-14)/(1/3),2
696,x=(2.5*6+5)/2,10
697,x=(2/7)+(1/5)+(2/7),((27)/(35))
698,x=30*5/(5-2),50
699,x=564/8/1.5,47
700,x=24/(3/2)+24,40
701,x=2*4,8
702,x=900/(150-120)*(120+150),8100
703,x=3.14*2*2,12.56
704,x=(413*22)-(87+125),8874
705,x=1-(1/3)-(1-(1/3))*(4/5),((2)/(15))
706,x=900*0.6,540
707,x=0.8*150/0.6,200
708,x=24/(1-80%),120
709,x=8/(1-98%)-8,392
710,x=(32+46)-(100-43),21
711,x=(100-20-20*1.2)/4,14
712,x=38+(15-10),43
713,x=360/4*(3/5),54
714,x=216/4,54
715,x=(36*2+36)-18,90
716,x=1-(5/17)-(3/11),((81)/(187))
717,x=20/(60+20),25%
718,x=2800+80*50,6800
719,x=791*9+81,7200
720,x=250*(1-(2/5)),150
721,x=90/2,45
722,x=5-32*5/40,1
723,x=(5-1)*8,32
724,x=(60-48)/4,3
725,x=56/(7/8)*(7/10),44.8
726,x=(1/6)*3/(1/12),6
727,x=40*(1+(1/4))*2,100
728,x=0.8/3/(9/20)*(3/2)/0.64*27.9,38.75
729,x=5700/((5/12)+37.5%),7200
730,x=11.7/2.6,4.5
731,x=3.6*5,18
732,x=840/8-52,53
733,x=280-132+145,293
734,x=60*28/84,20
735,x=6/(1-0.95),120
736,x=(410-82)/4-37,45
737,x=360*(1-10%),324
738,x=(500-20*5)/8,50
739,x=8.5*15%,1.275
740,x=4/(2/5)-4,6
741,x=(540+58*10)/(58-48),112
742,x=(3000-5*100)/4,625
743,x=6*6,36
744,x=42/2,21
745,x=(8.4+4.9*3)/(3+4),3.3
746,x=(3.14*2)*(3.14*2),39.4384
747,x=24/[1-(4/7)-(1-(4/7))*(3/5)],140
748,x=20/(1/4)*(3/4),60
749,x=36/(1-(1/5))-36,9
750,x=(1-(3/4))/((3/4)/(1/2)),((1)/(6))
751,x=65*27-48*25,555
752,x=(5/6)/(1/12),10
753,x=120*(1+40%+1),288
754,x=2012-2*7*11*13,10
755,x=50/(1+25%),40
756,x=150000/(1-40%),250000
757,x=124-(47+53),24
758,x=10*(35%+15%),5
759,x=19.2/(19.2/12+0.4),9.6
760,x=(3/4)*6,4((1)/(2))
761,x=(38+39+38.5+36.5+36+37+35.5+39.5)/8,37.5
762,x=30-(21.5*0.6+11.4*1),5.7
763,x=2.5/(1-(1/2)-25%),10
764,x=360/(1-40%),600
765,x=25/(5/9),45
766,x=10/7,((10)/(7))
767,x=(5/24)*40,8((1)/(3))
768,x=72/(10-1),8
769,x=(65+35)*125,12500
770,x=3.14*10,31.4
771,x=16*0.55,8.8
772,x=24/80%,30
773,x=35/(1-30%)/(1-50%),100
774,x=15-8.55-3.2,3.25
775,x=1680/0.7,2400
776,x=(22+28)/(1/4),200
777,x=1-(1/12)-(5/12),((1)/(2))
778,x=30-360/(360/30+6),10
779,x=102/(3*2),17
780,x=335-268+289,356
781,x=150*(7/10)/(3/4),140
782,x=100*(1/4),25
783,x=300/(1200*(1/3)),((3)/(4))
784,x=24*(1-(1/3)),16
785,x=100/20*1,5
786,x=720/9/5,16
787,x=24*(1-25%),18
788,x=6/(1-0.95),120
789,x=1000/(4000+1000),20%
790,x=(4/5)/6,((2)/(15))
791,x=(2/5)/(1/(1/4)+1/(1/3)),((2)/(35))
792,x=34.20+15.80,50
793,x=(50+34)/0.6,140
794,x=(15+5)/(92-90),10
795,x=6*3+1,19
796,x=120-(205-120),35
797,x=(68+34)*15,1530
798,x=140*2+50+140,470
799,x=270/3-350/5,20
800,x=450*(1-36%)/(1-(2/5))-450,30
801,x=360/(1-80%),1800
802,x=(12.5-10)/12.5,20%
803,x=15*12/9,20
804,x=24000-(24000-24000*(5/8))/(3/7),3000
805,x=150/(1+(1/4)),120
806,x=8*28+12*20,464
807,x=(240-80)/25%,640
808,x=(270-90)/((5/8)-(2/5)),800
809,x=20-11-1,8
810,x=(110-14*3)/17,4
811,x=10.8*6/0.36,180
812,x=3300/(82+83)-15,5
813,x=180*(1/5),36
814,x=21.5-(41.5-21.5),1.5
815,x=45-12+19,52
816,x=1/((3/8)/(2/3)),1((7)/(9))
817,x=7/(7+3),((7)/(10))
818,x=1850*(1-(1/4))/2/5,138((3)/(4))
819,x=364+287-396,255
820,x=20/(((3)/(3+4))-(1/3)),210
821,x=50/((1/4)-20%),1000
822,x=46/(1+15%),40
823,x=(40-8)/8,4
824,x=113-75,38
825,x=30/(((7)/(3+7))-(2/5)),100
826,x=160*(4/5)*(7/8),112
827,x=14*(6/7)/(3/4),16
828,x=240/8/3,10
829,x=121/[40%+(1-40%)*(5/9)],165
830,x=(30-18)/30,40%
831,x=(80.14-8.5)/12,5.97
832,x=798/(54-16),21
833,x=1.8/2/3,0.3
834,x=800-(550-140),390
835,x=96*58*75.9,422611.2
